2022-12-28 05:56:12,781 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 07:01:10,868 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 07:04:14,380 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 07:05:38,869 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 07:08:38,480 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 07:10:06,297 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 07:10:30,813 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 10:31:32,549 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 10:32:00,568 | SongBoardService | INFO | succeed to do 'GetLoginCheck('hi')'
2022-12-28 11:30:11,387 | SongBoardService | INFO | succeed to do 'GetCreatPost('hi', 'hi', '안녕', '안녕하세요', '20221228000102')'
2022-12-28 11:31:45,331 | SongBoardService | INFO | succeed to do 'GetCreatPost('인공', '지능', '인공지능사관학교', '환영합니다', '20221228030322')'
2022-12-28 11:32:13,110 | SongBoardService | INFO | succeed to do 'GetCreatPost('인공', '지능', '프론트엔드', '백엔드', '20221228060322')'
2022-12-28 11:32:55,753 | SongBoardService | INFO | succeed to do 'GetCreatPost('인공', '지능', '어렵다', '개발...', '20221228061222')'
2022-12-28 11:33:44,628 | SongBoardService | INFO | succeed to do 'GetCreatPost('dps', 'em', '프론트 엔드 개발', 'React, java', '20221228061222')'
2022-12-28 11:34:50,928 | SongBoardService | INFO | succeed to do 'GetCreatPost('인텔리', '전스', '나무 인텔리전스', '나무 인텔리전스 화이팅', '20221228061522')'
2022-12-28 11:35:32,761 | SongBoardService | INFO | succeed to do 'GetCreatPost('인텔리', '전스', '나무 인텔리전스 가고싶습니다.', '어떻게 가죠', '20221228061622')'
2022-12-28 11:35:55,096 | SongBoardService | INFO | succeed to do 'GetCreatPost('인텔리', '전스', '은행나무', '노란색', '20221228061822')'
2022-12-28 11:36:50,025 | SongBoardService | INFO | succeed to do 'GetCreatPost('qwer', 'qwer', 'qwer', '큐 떠블유 이 알', '20221228061922')'
2022-12-28 11:53:34,028 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:06:05,568 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:06:06,798 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:06:07,785 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:06:08,406 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:06:09,213 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:07:11,225 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:07:46,573 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:09:26,712 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:10:07,965 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:10:35,046 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:13:43,377 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:14:01,653 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:14:19,860 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:14:30,744 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:14:41,233 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:16:50,556 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:17:04,732 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:17:27,821 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:17:57,608 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:18:34,822 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:20:32,503 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:21:03,548 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:21:53,354 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:22:14,781 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:22:45,003 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:23:24,955 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:24:17,284 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:24:31,787 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:24:59,185 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2022-12-28 13:25:11,074 | SongBoardService | INFO | succeed to do 'GetAllPost()'
