2023-01-02 01:14:50,414 | SongBoardService | INFO | succeed to do 'GetDeleteReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52', 'hi', '2023-01-02 10:08:14')'
2023-01-02 01:14:50,434 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:14:50,453 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:14:50,517 | SongBoardService | INFO | succeed to do 'GetAllReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52')'
2023-01-02 01:14:50,576 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:14:50,637 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:14:50,696 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:14:56,530 | SongBoardService | INFO | succeed to do 'GetDeleteReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52', 'hi', '2023-01-02 10:06:29')'
2023-01-02 01:14:56,548 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:14:56,568 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:14:56,632 | SongBoardService | INFO | succeed to do 'GetAllReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52')'
2023-01-02 01:14:56,694 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:14:56,758 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:15:02,767 | SongBoardService | INFO | succeed to do 'GetDeleteReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52', 'hi', '2023-01-02 01:06:36')'
2023-01-02 01:15:02,786 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:15:02,805 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:03,927 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:03,946 | SongBoardService | INFO | succeed to do 'GetReadPost('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:04,010 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:04,075 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:04,093 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:04,153 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:05,238 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:05,255 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:05,317 | SongBoardService | INFO | succeed to do 'GetAllReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52')'
2023-01-02 01:17:05,375 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:11,056 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:11,074 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:11,136 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:11,206 | SongBoardService | INFO | succeed to do 'GetCreatReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52', 'hi', 'ㄹ옫곧고도', '2023-01-02 10:17:11')'
2023-01-02 01:17:11,226 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:11,244 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:11,307 | SongBoardService | INFO | succeed to do 'GetAllReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52')'
2023-01-02 01:17:11,365 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:11,427 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:15,444 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:15,462 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:15,524 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:15,588 | SongBoardService | INFO | succeed to do 'GetCreatReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52', 'hi', 'ㅈ곶궂궂구', '2023-01-02 10:17:16')'
2023-01-02 01:17:15,604 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:15,621 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:17:15,682 | SongBoardService | INFO | succeed to do 'GetAllReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52')'
2023-01-02 01:17:15,742 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:15,805 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:15,867 | SongBoardService | INFO | succeed to do 'GetNickName('hi')'
2023-01-02 01:17:20,053 | SongBoardService | INFO | succeed to do 'GetDeleteReply('Admin', '2023-01-01 01:14:53', 'hi', '2023-01-01 23:05:52', 'hi', '2023-01-02 10:06:20')'
2023-01-02 01:17:20,071 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:17:20,087 | SongBoardService | INFO | succeed to do 'GetAllComment('Admin', '2023-01-01 01:14:53')'
2023-01-02 01:18:13,812 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:15,495 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:20,501 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:21,722 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:24,482 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:35,271 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:36,059 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:36,698 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:45,834 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:18:46,707 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:19:19,492 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:19:20,233 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:19:21,308 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:19:31,381 | SongBoardService | INFO | error to do 'GetLoginCheck('hi')'
2023-01-02 01:19:46,625 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:20:07,956 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:21:04,795 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:21:07,823 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:21:28,608 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-01-02 01:22:28,945 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-01-02 01:22:38,167 | SongBoardService | INFO | succeed to do 'GetReadNickName('hi')'
